,Co,cena
1kg,Kuřecí mini řízečky & kyselé okurky,950 Kč
500g,Hovězí tatarák & topinky z kváskového chleba,650 Kč
110g,"Carpaccio se sýrem parmigiano reggiano, rukola, citron & focaccia",320 Kč
1kg,"Salát z krevet, brambor a sušených rajčat & naše focaccia ",950 Kč
"Kanapky & spol, které lze libovolně kombinovat při minimálním odběru 5ks od jednoho druhu:",,
1ks,"Pražská šunka, smetanový křen, cornichon, kváskový chléb ",55 Kč
1ks,"Marinovaný lilek, focaccia, oliva",55 Kč
1ks,"Vajíčková pomazánka s lanýžovou majonézou, naše focaccia,  pažitka",65 Kč
1ks,Kanapky s baga ganoush / hummus / muhammara,55 Kč
1ks ,Tatarák ze sušených rajčat na topince,75 Kč
1ks,Letní závitek s krevetou,105 Kč
1ks,"Letní závitek s tofu, zeleninou a omeletou ",90 Kč
1ks,"Naše focaccia s pomazánkou z pečených paprik a vlašských oříšků Muhammara, sýr halloumi & granátové jablko",80 Kč
1ks,"Kanapky s naší focacciou, muhammarou a grilovaným halloumi",85 Kč
1ks,Pizza šnek se šunkou a sýrem,55 Kč
Dort pro 12 lidí,,1650
"Spongecake with vanilla mascarpone, forest fruit jelly",,
Cocoa sponge cake with caramel and chocolate icing,,
Pistachio cake with white chocolate,,
Mísa evropských sýrů a hroznové víno,,"nemáme zatim naceněnou univerzální velikost, spíš podle částky upravíme množství"
"Mísa uzenin, nakládaná zelenina a hrubozrnná hořčice",,"nemáme zatim naceněnou univerzální velikost, spíš podle částky upravíme množství"
,Marinované olivy a sušená rajčata (vegan),135
,Zeleninové crudités s hummusem / babaganoushem / muhammarou a naší focacciou,155